Start Shift;End Shift;Radiation
06/09/2005 04:00;06/09/2005 04:30;0
06/09/2005 04:30;06/09/2005 05:00;0
06/09/2005 05:00;06/09/2005 05:30;0
06/09/2005 05:30;06/09/2005 06:00;0
06/09/2005 06:00;06/09/2005 06:30;0.009
06/09/2005 06:30;06/09/2005 07:00;0.029
06/09/2005 07:00;06/09/2005 07:30;0.122
06/09/2005 07:30;06/09/2005 08:00;0.117
06/09/2005 08:00;06/09/2005 08:30;0.053
06/09/2005 08:30;06/09/2005 09:00;0.332
06/09/2005 09:00;06/09/2005 09:30;0.453
06/09/2005 09:30;06/09/2005 10:00;0.526
06/09/2005 10:00;06/09/2005 10:30;0.591
06/09/2005 10:30;06/09/2005 11:00;0.633
06/09/2005 11:00;06/09/2005 11:30;0.683
06/09/2005 11:30;06/09/2005 12:00;0.717
06/09/2005 12:00;06/09/2005 12:30;0.733
06/09/2005 12:30;06/09/2005 13:00;0.74
06/09/2005 13:00;06/09/2005 13:30;0.73
06/09/2005 13:30;06/09/2005 14:00;0.714
06/09/2005 14:00;06/09/2005 14:30;0.678
06/09/2005 14:30;06/09/2005 15:00;0.637
06/09/2005 15:00;06/09/2005 15:30;0.583
06/09/2005 15:30;06/09/2005 16:00;0.521
06/09/2005 16:00;06/09/2005 16:30;0.452
06/09/2005 16:30;06/09/2005 17:00;0.368
06/09/2005 17:00;06/09/2005 17:30;0.28
06/09/2005 17:30;06/09/2005 18:00;0.201
06/09/2005 18:00;06/09/2005 18:30;0.12
06/09/2005 18:30;06/09/2005 19:00;0.045
06/09/2005 19:00;06/09/2005 19:30;0.004
06/09/2005 19:30;06/09/2005 20:00;0
06/09/2005 20:00;06/09/2005 20:30;0
06/09/2005 20:30;06/09/2005 21:00;0
06/09/2005 21:00;06/09/2005 21:30;0
